Comparison Date,DateKey,Calendar Year Number,Calendar Year,Calendar Year Quarter Number,Calendar Year Quarter,Calendar Year Month Number,Calendar Year Month,Month Number,Month,Day of Week Number,Day of Week,Fiscal Year Number,Fiscal Year,Fiscal Quarter Number,Fiscal Quarter,Fiscal Year Quarter Number,Fiscal Year Quarter,Fiscal Month Number,Fiscal Month,Working Day,Is Holiday,Holiday Name,Europe Season,North America Season,Asia Season
1/1/2005 0:00,20050101,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
1/2/2005 0:00,20050102,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
1/3/2005 0:00,20050103,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
1/4/2005 0:00,20050104,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
1/5/2005 0:00,20050105,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
1/6/2005 0:00,20050106,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
1/7/2005 0:00,20050107,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
1/8/2005 0:00,20050108,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
1/9/2005 0:00,20050109,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
1/10/2005 0:00,20050110,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
1/11/2005 0:00,20050111,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
1/12/2005 0:00,20050112,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
