Date,DateKey,Calendar Year Number,Calendar Year,Calendar Year Quarter Number,Calendar Year Quarter,Calendar Year Month Number,Calendar Year Month,Month Number,Month,Day of Week Number,Day of Week,Fiscal Year Number,Fiscal Year,Fiscal Quarter Number,Fiscal Quarter,Fiscal Year Quarter Number,Fiscal Year Quarter,Fiscal Month Number,Fiscal Month,Working Day,Is Holiday,Holiday Name,Europe Season,North America Season,Asia Season
01/01/2005,20050101,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
01/02/2005,20050102,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
01/03/2005,20050103,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/04/2005,20050104,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/05/2005,20050105,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/06/2005,20050106,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/07/2005,20050107,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/08/2005,20050108,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
01/09/2005,20050109,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
01/10/2005,20050110,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/11/2005,20050111,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/12/2005,20050112,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/13/2005,20050113,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/14/2005,20050114,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/15/2005,20050115,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
01/16/2005,20050116,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
01/17/2005,20050117,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/18/2005,20050118,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/19/2005,20050119,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/20/2005,20050120,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/21/2005,20050121,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/22/2005,20050122,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
01/23/2005,20050123,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
01/24/2005,20050124,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,2,Monday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/25/2005,20050125,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,3,Tuesday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/26/2005,20050126,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,4,Wednesday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/27/2005,20050127,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,5,Thursday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/28/2005,20050128,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,6,Friday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WorkDay,0,None,Holiday,Spring/Back to Business,Holiday
01/29/2005,20050129,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,7,Saturday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
01/30/2005,20050130,2005,CY 2005,20051,Q1-2005,200501,January 2005,1,January,1,Sunday,2005,FY 2005,3,Q3,20053,Q3-2005,7,January,WeekEnd,0,None,Holiday,Spring/Back to Business,Holiday
